ExperimentNumber,ExperimentParticipantNumber,AgeMonths,Gender,Toy A (Infant's Choice on Preference Induction Trial),Toy B,Toy C,Infant's Choice at Test,Infant Chose C
1b,20,13.40,M,Green cube,Black Rectangle,Orange Arch,Option C,1
1b,21,18.86,F,Orange Arch,Black Rectangle,Green cube,Option C,1
1b,22,12.94,M,Black Rectangle,Green cube,Orange Arch,Option B,0
1b,23,12.25,F,Orange Arch,Black Rectangle,Green cube,Option C,1
1b,24,11.83,F,Orange Arch,Black Rectangle,Green cube,Option C,1
1b,25,19.42,M,Orange Arch,Green cube,Black Rectangle,Option C,1
1b,26,13.08,F,Black Rectangle,Green cube,Orange Arch,Option C,1
2,1,16.49,F,Black rectangle,Orange arch,Green cube,Option B,0
2,2,10.64,M,Orange arch,Black rectangle,Green cube,Option B,0
2,3,16.62,F,Black rectangle,Orange arch,Green cube,Option B,0
2,4,15.44,M,Green cube,Black rectangle,Orange arch,Option C,1
2,5,10.64,M,Orange arch,Green cube,Black rectangle,Option C,1
2,6,11.17,M,Black rectangle,Orange arch,Green cube,Option B,0
2,7,11.66,M,Green cube,Black rectangle,Orange arch,Option C,1
2,8,11.33,M,Black rectangle,Orange arch,Green cube,Option C,1
2,9,10.97,M,Green cube,Black rectangle,Orange arch,Option B,0
2,10,11.56,F,Green cube,Orange arch,Black rectangle,Option B,0
2,11,16.13,F,Black rectangle,Green cube,Orange arch,Option B,0
2,12,10.87,F,Green cube,Black rectangle,Orange arch,Option C,1
2,13,15.31,F,Green cube,Black rectangle,Orange arch,Option C,1
2,14,16.66,M,Green cube,Black rectangle,Orange arch,Option B,0
2,15,16.07,F,Orange arch,Green cube,Black rectangle,Option B,0
2,16,16.95,F,Green cube,Black rectangle,Orange arch,Option C,1
2,17,15.38,F,Orange arch,Black rectangle,Green cube,Option C,1
2,18,16.36,M,Orange arch,Green cube,Black rectangle,Option C,1
2,19,16.16,F,Orange arch,Green cube,Black rectangle,Option C,1
2,20,16.20,M,Black rectangle,Orange arch,Green cube,Option B,0
2,21,15.34,F,Black rectangle,Orange arch,Green cube,Option C,1
2,22,16.82,F,Green cube,Orange arch,Black rectangle,Option C,1
2,23,15.51,M,Orange arch,Green cube,Black rectangle,Option B,0
2,24,14.85,F,Green cube,Orange arch,Black rectangle,Option B,0
2,25,15.77,M,Orange arch,Green cube,Black rectangle,Option C,1
2,26,15.61,F,Orange arch,Black rectangle,Green cube,Option C,1
2,27,16.59,F,Black rectangle,Green cube,Orange arch,Option B,0
2,28,15.44,M,Black rectangle,Green cube,Orange arch,Option C,1
2,29,16.53,M,Orange arch,Green cube,Black rectangle,Option C,1
2b,1,15.93,M,Black Rectangle,Orange Arch,Green cube,Option B,0
2b,2,19.94,F,Green cube,Orange Arch,Black Rectangle,Option B,0
2b,3,20.27,F,Green cube,Black Rectangle,Orange Arch,Option C,1
2b,4,12.68,F,Green cube,Orange Arch,Black Rectangle,Option C,1
2b,5,13.63,M,Orange Arch,Green cube,Black Rectangle,Option C,1
2b,6,14.26,F,Orange Arch,Black Rectangle,Green cube,Option B,0
2b,7,12.35,F,Orange Arch,Black Rectangle,Green cube,Option B,0
2b,8,20.37,F,Orange Arch,Green cube,Black Rectangle,Option C,1
2b,9,19.29,M,Green cube,Orange Arch,Black Rectangle,Option C,1
2b,10,11.99,F,Green cube,Orange Arch,Black Rectangle,Option B,0
2b,11,10.68,F,Black Rectangle,Green cube,Orange Arch,Option B,0
